time,mode,z,zd,vz,e1,e2,s,c,c_float,uf,dhat,W_norm,d
0.0,pd,0.55,0.8,0.0,-0.25,0.0,-0.375,4,4.5,0.22499999999999998,0.0,0.0,0.06705741323480886
0.02,pd,0.5500460229652939,0.8,0.002301148264696177,-0.24995397703470612,0.002301148264696177,-0.372629817287363,4,4.471557807448356,0.2235778903724178,0.0,0.0,0.08288801359917404
0.04,pd,0.5501431124929993,0.8,0.004854476385268165,-0.24985688750700075,0.004854476385268165,-0.369930854875233,4,4.439170258502795,0.22195851292513977,0.0,0.0,0.09231346926768519
0.06,pd,0.550293608901636,0.8,0.0075248204318343614,-0.249706391098364,0.0075248204318343614,-0.3670347662157116,4,4.4044171945885395,0.22022085972942698,0.0,0.0,0.08316603181472697
0.08,pd,0.5504923578235568,0.8,0.009937446096037538,-0.24950764217644328,0.009937446096037538,-0.3643240171686274,4,4.371888206023529,0.21859441030117643,0.0,0.0,0.09839878548211722
0.1,pd,0.5507441012898566,0.8,0.012587173314990832,-0.24925589871014342,0.012587173314990832,-0.3612966747502243,4,4.335560097002691,0.21677800485013457,0.0,0.0,0.1373657840083662
0.12000000000000001,pd,0.5510629422527034,0.8,0.015942048142338412,-0.24893705774729669,0.015942048142338412,-0.3574635384786066,4,4.289562461743279,0.21447812308716396,0.0,0.0,0.13314329205837622
0.14,pd,0.5514453129854138,0.8,0.01911853663552046,-0.24855468701458627,0.01911853663552046,-0.353713493886359,4,4.244561926636308,0.21222809633181539,0.0,0.0,0.12846803917962196
0.16,pd,0.5518875645532801,0.8,0.022112578393318327,-0.2481124354467199,0.022112578393318327,-0.35005607477676154,4,4.200672897321138,0.2100336448660569,0.0,0.0,0.11673337733361516
0.18,pd,0.5523833264281797,0.8,0.024788093744977716,-0.24761667357182038,0.024788093744977716,-0.34663691661275287,4,4.159642999353034,0.2079821499676517,0.0,0.0,0.10761993556086202
0.19999999999999998,pd,0.5529274549448063,0.8,0.02720642583133558,-0.24707254505519372,0.02720642583133558,-0.343402391751455,4,4.12082870101746,0.206041435050873,0.0,0.0,0.1204210348739144
0.21999999999999997,pd,0.5535237162769171,0.8,0.02981306660553647,-0.24647628372308295,0.02981306660553647,-0.33990135897908796,4,4.078816307749055,0.20394081538745276,0.0,0.0,0.12277365830080217
0.23999999999999996,pd,0.554171591755049,0.8,0.03239377390659749,-0.245828408244951,0.03239377390659749,-0.336348838460829,4,4.036186061529948,0.20180930307649741,0.0,0.0,0.13714398492850088
0.25999999999999995,pd,0.5548753843137647,0.8,0.03518962793578278,-0.24512461568623534,0.03518962793578278,-0.3324972955935702,4,3.989967547122842,0.19949837735614212,0.0,0.0,0.10943684998791002
0.27999999999999997,pd,0.5556224454208315,0.8,0.03735305535333906,-0.24437755457916854,0.03735305535333906,-0.32921327651541377,4,3.950559318184965,0.19752796590924826,0.0,0.0,0.14240229920212025
0.3,pd,0.5564247497365813,0.8,0.04011521578748797,-0.24357525026341875,0.04011521578748797,-0.3252476596076401,4,3.9029719152916815,0.19514859576458407,0.0,0.0,0.12402389866829373
0.32,pd,0.5572733990909574,0.8,0.042432467718804184,-0.24272660090904263,0.042432467718804184,-0.32165743364475974,4,3.859889203737117,0.19299446018685584,0.0,0.0,0.12476757160403577
0.34,pd,0.5581673932920526,0.8,0.04469971005475838,-0.24183260670794748,0.04469971005475838,-0.31804920000716286,4,3.8165904000859543,0.1908295200042977,0.0,0.0,0.13343046792081922
0.36000000000000004,pd,0.5591089278426854,0.8,0.047076727531641535,-0.24089107215731465,0.047076727531641535,-0.3142598807043304,4,3.771118568451965,0.18855592842259825,0.0,0.0,0.12601903986749088
0.38000000000000006,pd,0.5600937070418475,0.8,0.04923895995810539,-0.23990629295815258,0.04923895995810539,-0.31062047947912347,4,3.7274457537494814,0.18637228768747408,0.0,0.0,0.1483157927064858
0.4000000000000001,pd,0.5611294387405157,0.8,0.05178658493340816,-0.23887056125948436,0.05178658493340816,-0.3065192569558184,4,3.6782310834698206,0.18391155417349103,0.0,0.0,0.16216897285166496
0.4200000000000001,pd,0.5622202375407618,0.8,0.05453994001230603,-0.23777976245923826,0.05453994001230603,-0.30212970367655134,4,3.625556444118616,0.1812778222059308,0.0,0.0,0.1353290446972358
0.4400000000000001,pd,0.5633538255924799,0.8,0.05667940258590618,-0.23664617440752012,0.05667940258590618,-0.29828985902537397,4,3.579478308304487,0.17897391541522437,0.0,0.0,0.14061765210850885
0.46000000000000013,pd,0.5645311202395934,0.8,0.05886473235567099,-0.23546887976040665,0.05886473235567099,-0.294338587284939,4,3.5320630474192676,0.17660315237096338,0.0,0.0,0.09796869143246292
0.48000000000000015,pd,0.5657338381131606,0.8,0.06013589367836146,-0.23426616188683946,0.06013589367836146,-0.2912633491518977,3,3.4951601898227724,0.17475800949113862,0.0,0.0,0.1360925538327154
0.5000000000000001,pd,0.566971716907801,0.8,0.06189393973202165,-0.23302828309219903,0.06189393973202165,-0.2876484849062769,3,3.451781818875323,0.17258909094376615,0.0,0.0,0.10216255183320741
0.5200000000000001,pd,0.5682302001169248,0.8,0.06292416045618919,-0.23176979988307522,0.06292416045618919,-0.28473053936842363,3,3.4167664724210836,0.17083832362105417,0.0,0.0,0.10489986286680585
0.5400000000000001,pd,0.5695098057413399,0.8,0.06398028122075201,-0.23049019425866013,0.06398028122075201,-0.2817550101672382,3,3.381060122006858,0.1690530061003429,0.0,0.0,0.1054404472434941
0.5600000000000002,pd,0.5708101585871688,0.8,0.06501764229144084,-0.22918984141283127,0.06501764229144084,-0.27876711982780605,3,3.3452054379336724,0.16726027189668363,0.0,0.0,0.12023233663262015
0.5800000000000002,pd,0.5721365944879674,0.8,0.06632179503993291,-0.22786340551203266,0.06632179503993291,-0.2754733132281161,3,3.3056797587373925,0.16528398793686963,0.0,0.0,0.12840936426110383
0.6000000000000002,pd,0.5734916539292482,0.8,0.06775297206403687,-0.22650834607075188,0.06775297206403687,-0.27200954704209096,3,3.2641145645050913,0.16320572822525456,0.0,0.0,0.112994222363189
0.6200000000000002,pd,0.5748683693951183,0.8,0.06883577329350761,-0.22513163060488173,0.06883577329350761,-0.268861672613815,3,3.2263400713657795,0.16131700356828899,0.0,0.0,0.10534204459749247
0.6400000000000002,pd,0.5762630736457831,0.8,0.06973521253323925,-0.22373692635421694,0.06973521253323925,-0.2658701769980861,3,3.1904421239770335,0.15952210619885168,0.0,0.0,0.067821505680925
0.6600000000000003,pd,0.5776602547797016,0.8,0.06985905669592705,-0.22233974522029842,0.06985905669592705,-0.26365056113452057,3,3.163806733614247,0.15819033668071233,0.0,0.0,0.11761948179117784
0.6800000000000003,pd,0.5790797626345869,0.8,0.07097539274426465,-0.2209202373654131,0.07097539274426465,-0.260404963303855,3,3.12485955964626,0.15624297798231299,0.0,0.0,0.1169138268623237
0.7000000000000003,pd,0.5805206898002804,0.8,0.07204635828467171,-0.21947931019971967,0.07204635828467171,-0.2571726070149078,3,3.0860712841788933,0.15430356420894467,0.0,0.0,0.08641517106803795
0.7200000000000003,pd,0.5819702370737616,0.8,0.07247736367406166,-0.21802976292623844,0.07247736367406166,-0.254567280715296,3,3.054807368583552,0.1527403684291776,0.0,0.0,0.11176298591400306
0.7400000000000003,pd,0.583438302217951,0.8,0.073403257209468,-0.21656169778204903,0.073403257209468,-0.25143928946360555,3,3.017271473563267,0.15086357367816333,0.0,0.0,0.11319588539758914
0.7600000000000003,pd,0.5849249398922621,0.8,0.07433188371555467,-0.21507506010773791,0.07433188371555467,-0.2482807064460522,3,2.9793684773526263,0.14896842386763132,0.0,0.0,0.13665360742971192
0.7800000000000004,pd,0.5864390131546644,0.8,0.07570366312011338,-0.21356098684533564,0.07570366312011338,-0.24463781714789007,3,2.9356538057746806,0.14678269028873403,0.0,0.0,0.10728443606361715
0.8000000000000004,pd,0.5879680061401449,0.8,0.07644964927402255,-0.21203199385985516,0.07644964927402255,-0.2415983415157602,3,2.8991800981891225,0.14495900490945612,0.0,0.0,0.1261603574594368
0.8200000000000004,pd,0.5895190514650157,0.8,0.07755226624353866,-0.21048094853498434,0.07755226624353866,-0.23816915655893783,3,2.858029878707254,0.1429014939353627,0.0,0.0,0.12800092509844127
