time,mode,z,zd,vz,e1,e2,s,c,c_float,uf,dhat,W_norm,bat,h_raw,tof_raw,baro_raw,state_age
0.0,baseline,0.72,0.8,0.0,-0.08000000000000007,0.0,-0.1200000000000001,0,0.0,0.0,0.0,0.0,57.0,60.0,72.0,28.76,0.0409543514251709
0.10105705261230469,baseline,0.7515,0.8,0.0,-0.0485000000000001,0.0,-0.07275000000000015,0,0.0,0.0,0.0,0.0,57.0,60.0,81.0,28.78,0.03738069534301758
0.2017068862915039,baseline,0.771975,0.8,0.0,-0.028025000000000078,0.0,-0.042037500000000116,0,0.0,0.0,0.0,0.0,57.0,60.0,81.0,28.78,0.1380305290222168
0.302203893661499,baseline,0.76778375,0.8,0.0,-0.03221625000000006,0.0,-0.048324375000000086,0,0.0,0.0,0.0,0.0,57.0,60.0,76.0,28.81,0.09476184844970703
0.4025745391845703,baseline,0.7650594374999999,0.8,0.0,-0.034940562500000105,0.0,-0.05241084375000016,0,0.0,0.0,0.0,0.0,57.0,60.0,76.0,28.81,0.19513249397277832
0.5048091411590576,baseline,0.787788634375,0.8,0.0,-0.012211365625000026,0.0,-0.01831704843750004,0,0.0,0.0,0.0,0.0,57.0,60.0,83.0,28.81,0.09172701835632324
0.6050982475280762,baseline,0.80256261234375,0.8,0.0,0.0025626123437499926,0.0,0.003843918515624989,0,0.0,0.0,0.0,0.0,57.0,60.0,83.0,28.73,0.02919316291809082
0.7056288719177246,baseline,0.8121656980234375,0.8,0.0,0.012165698023437477,0.0,0.018248547035156215,0,0.0,0.0,0.0,0.0,57.0,60.0,83.0,28.73,0.12972378730773926
0.8064699172973633,baseline,0.8184077037152344,0.8,0.0,0.01840770371523437,0.0,0.027611555572851554,0,0.0,0.0,0.0,0.0,57.0,60.0,83.0,28.75,0.03102278709411621
0.9073276519775391,baseline,0.8259650074149023,0.8,0.0,0.025965007414902264,0.0,0.038947511122353395,0,0.0,0.0,0.0,0.0,57.0,60.0,84.0,28.79,0.0061070919036865234
1.0078883171081543,baseline,0.8308772548196866,0.8,0.0,0.030877254819686506,0.0,0.04631588222952976,0,0.0,0.0,0.0,0.0,57.0,60.0,84.0,28.79,0.10666775703430176
1.1085572242736816,baseline,0.8340702156327962,0.8,0.0,0.03407021563279611,0.0,0.05110532344919416,0,0.0,0.0,0.0,0.0,57.0,60.0,84.0,28.69,0.025774002075195312
1.2088987827301025,baseline,0.8361456401613174,0.8,0.0,0.03614564016131738,0.0,0.054218460241976074,0,0.0,0.0,0.0,0.0,57.0,60.0,84.0,28.69,0.1261155605316162
1.3097658157348633,baseline,0.8409946661048563,0.8,0.0,0.04099466610485625,0.0,0.06149199915728437,0,0.0,0.0,0.0,0.0,57.0,60.0,85.0,28.8,0.02409815788269043
